Id,Warehouse Block,Mode Of Shipment,Customer Care Calls,Customer Rating,Cost Of The Product,Prior Purchases,Product Importance,Gender,Discount Offered,Weight In Gms,On-Time Delivery,Net Price,Discount Ratio,Status By Mode Of Shipment
61,D,Ship,3,1,221,3,0,F,64,2794,1,157,0.29,0.6
62,F,Ship,3,3,179,3,1,M,52,1158,1,127,0.29,0.6
63,A,Ship,5,1,105,6,1,M,62,1292,1,43,0.59,0.6
64,B,Ship,3,1,177,3,1,M,61,1880,1,116,0.34,0.6
65,C,Ship,4,5,261,2,2,M,49,3045,1,212,0.19,0.6
66,F,Ship,3,2,202,3,0,M,49,2881,1,153,0.24,0.6
67,D,Ship,3,2,109,3,1,F,15,1710,1,94,0.14,0.6
68,F,Ship,3,3,158,3,0,F,6,1878,1,152,0.04,0.6
69,A,Ship,4,2,231,4,1,F,6,2512,1,225,0.03,0.6
70,B,Ship,3,5,206,3,1,M,39,2929,1,167,0.19,0.6
71,C,Ship,5,1,187,4,2,M,14,3849,1,173,0.07,0.6
72,F,Ship,5,5,230,2,0,F,2,2229,1,228,0.01,0.6
73,D,Ship,5,5,232,3,1,F,33,2998,1,199,0.14,0.6
74,F,Ship,4,5,215,3,1,F,21,3984,1,194,0.1,0.6
75,A,Ship,6,1,238,6,0,F,13,2442,1,225,0.05,0.6
76,B,Ship,4,1,266,3,0,F,23,3775,1,243,0.09,0.6
77,C,Ship,2,3,158,2,1,F,36,1788,1,122,0.23,0.6
78,F,Ship,3,3,113,3,0,F,43,1518,1,70,0.38,0.6
79,D,Ship,3,4,223,3,0,M,18,3959,1,205,0.08,0.6
80,F,Ship,3,5,257,2,1,F,56,3711,1,201,0.22,0.6
81,A,Ship,3,4,180,2,1,F,49,1942,1,131,0.27,0.6
82,B,Ship,2,5,132,3,0,M,18,1759,1,114,0.14,0.6
83,C,Ship,4,4,217,3,2,F,26,2875,1,191,0.12,0.6
84,F,Ship,5,5,162,3,2,F,31,1364,1,131,0.19,0.6
85,D,Ship,4,5,197,2,1,F,40,2710,1,157,0.2,0.6
86,F,Ship,3,4,197,3,1,M,13,2148,1,184,0.07,0.6
87,A,Ship,4,1,185,2,0,M,44,2910,1,141,0.24,0.6
88,B,Ship,6,2,278,3,1,F,3,2974,1,275,0.01,0.6
89,C,Ship,3,3,229,3,0,M,49,2339,1,180,0.21,0.6
90,F,Ship,4,1,186,4,1,F,57,3880,1,129,0.31,0.6
91,D,Ship,5,3,174,6,2,F,41,1085,1,133,0.24,0.6
92,F,Ship,5,5,286,3,0,F,18,3163,1,268,0.06,0.6
93,A,Ship,4,4,175,2,1,F,7,1188,1,168,0.04,0.6
94,B,Ship,3,3,219,3,1,F,17,3387,1,202,0.08,0.6
95,C,Ship,4,1,213,4,2,F,35,2343,1,178,0.16,0.6
96,F,Ship,2,3,235,3,0,M,57,2034,1,178,0.24,0.6
97,D,Ship,3,3,149,2,1,M,18,1225,1,131,0.12,0.6
98,F,Ship,4,1,271,2,1,F,8,2401,1,263,0.03,0.6
99,A,Ship,3,5,144,4,1,M,5,1104,1,139,0.03,0.6
100,B,Ship,4,2,145,2,1,M,21,1617,1,124,0.14,0.6
101,C,Ship,5,3,143,2,1,M,59,1837,1,84,0.41,0.6
102,F,Ship,5,5,227,4,0,M,53,2624,1,174,0.23,0.6
103,D,Ship,2,1,213,3,0,M,29,2732,1,184,0.14,0.6
104,F,Ship,5,1,144,4,0,M,37,1658,1,107,0.26,0.6
105,A,Ship,3,3,218,3,0,M,3,2255,1,215,0.01,0.6
106,B,Ship,4,2,144,3,1,M,59,1588,1,85,0.41,0.6
107,C,Ship,3,1,238,3,0,M,17,2624,1,221,0.07,0.6
108,F,Ship,4,5,216,3,2,M,26,2053,1,190,0.12,0.6
109,D,Ship,4,5,238,3,2,F,55,3257,1,183,0.23,0.6
110,F,Ship,4,1,141,3,1,M,47,1250,1,94,0.33,0.6
111,A,Road,3,1,158,2,0,M,2,1284,1,156,0.01,0.59
112,B,Road,4,2,239,3,0,F,65,3679,1,174,0.27,0.59
113,C,Road,4,3,175,2,0,M,25,1816,1,150,0.14,0.59
114,F,Road,3,2,263,3,0,M,41,2817,1,222,0.16,0.59
115,D,Road,3,5,168,2,2,M,50,1616,1,118,0.3,0.59
116,F,Road,3,4,176,3,2,M,36,1779,1,140,0.2,0.59
117,A,Road,4,1,150,4,2,M,60,1024,1,90,0.4,0.59
118,B,Road,4,3,265,2,1,F,31,2326,1,234,0.12,0.59
119,C,Road,2,5,263,3,0,F,5,2947,1,258,0.02,0.59
120,F,Road,5,1,145,3,0,M,20,1387,1,125,0.14,0.59
121,D,Road,4,2,183,3,0,F,33,2741,1,150,0.18,0.59
122,F,Road,3,3,205,3,1,F,19,2167,1,186,0.09,0.59
123,A,Road,4,2,160,3,0,M,64,1714,1,96,0.4,0.59
124,B,Road,3,3,252,2,1,F,48,2102,1,204,0.19,0.59
125,C,Road,5,5,222,3,0,M,10,2280,1,212,0.05,0.59
126,F,Road,3,3,203,2,0,M,25,3607,1,178,0.12,0.59
127,D,Road,4,5,220,3,1,M,40,3516,1,180,0.18,0.59
128,F,Road,3,3,147,4,0,F,60,1722,1,87,0.41,0.59
129,A,Road,4,4,200,4,1,M,16,2060,1,184,0.08,0.59
130,B,Road,4,5,224,4,1,M,21,2026,1,203,0.09,0.59
131,C,Road,3,5,179,2,0,F,17,1364,1,162,0.09,0.59
132,F,Road,3,4,144,3,0,M,50,1865,1,94,0.35,0.59
133,D,Flight,5,2,247,3,0,M,17,3889,1,230,0.07,0.6
134,F,Flight,5,4,280,6,1,F,51,3582,1,229,0.18,0.6
135,A,Flight,3,3,168,2,1,F,1,1829,1,167,0.01,0.6
136,B,Flight,3,5,157,3,1,F,4,1889,1,153,0.03,0.6
137,C,Flight,3,3,189,4,1,F,51,2208,1,138,0.27,0.6
138,F,Flight,3,5,162,2,1,M,7,1739,1,155,0.04,0.6
139,D,Flight,4,1,207,5,0,M,48,2399,1,159,0.23,0.6
140,F,Flight,5,1,237,2,0,F,10,3860,1,227,0.04,0.6
141,A,Flight,4,4,264,3,2,M,59,2020,1,205,0.22,0.6
142,B,Flight,5,4,149,3,0,M,51,1645,1,98,0.34,0.6
143,C,Flight,5,5,162,3,0,M,41,1462,1,121,0.25,0.6
144,F,Flight,2,1,205,4,1,F,63,2156,1,142,0.31,0.6
145,D,Flight,2,1,158,3,1,F,51,1540,1,107,0.32,0.6
146,F,Flight,2,2,248,2,0,M,46,3707,1,202,0.19,0.6
147,A,Flight,3,5,191,3,0,M,23,3750,1,168,0.12,0.6
148,B,Flight,4,3,146,4,1,F,24,1844,1,122,0.16,0.6
149,C,Flight,3,3,135,3,0,M,56,1490,1,79,0.41,0.6
150,F,Flight,5,1,149,3,0,M,40,1062,1,109,0.27,0.6
151,D,Flight,4,4,220,2,1,F,7,2551,1,213,0.03,0.6
152,F,Flight,5,3,98,5,1,M,44,1269,1,54,0.45,0.6
153,A,Flight,3,4,97,4,0,M,32,1238,1,65,0.33,0.6
154,B,Flight,3,3,183,2,0,M,53,3932,1,130,0.29,0.6
155,C,Ship,3,3,162,3,1,F,8,1869,1,154,0.05,0.6
156,F,Ship,5,1,114,4,0,F,47,1443,1,67,0.41,0.6
157,D,Ship,6,3,275,5,0,M,41,2491,1,234,0.15,0.6
158,F,Ship,3,2,203,2,1,F,39,3845,1,164,0.19,0.6
159,A,Ship,5,5,205,2,2,M,65,3671,1,140,0.32,0.6
160,B,Ship,3,3,149,3,0,F,63,1946,1,86,0.42,0.6
161,C,Ship,2,2,112,4,1,M,56,1138,1,56,0.5,0.6
162,F,Ship,3,1,207,3,1,F,56,3482,1,151,0.27,0.6
163,D,Ship,4,1,261,4,0,F,58,3427,1,203,0.22,0.6
164,F,Ship,5,2,274,3,1,M,6,3375,1,268,0.02,0.6
165,A,Ship,3,5,141,2,0,M,52,1692,1,89,0.37,0.6
166,B,Ship,3,3,166,4,1,F,17,1498,1,149,0.1,0.6
167,C,Ship,5,2,141,3,2,F,34,1020,1,107,0.24,0.6
168,F,Ship,4,5,152,3,0,M,43,1709,1,109,0.28,0.6
169,D,Ship,4,2,250,3,0,F,53,2478,1,197,0.21,0.6
170,F,Ship,4,3,161,3,1,F,28,1809,1,133,0.17,0.6
171,A,Ship,4,3,185,3,1,F,10,2263,1,175,0.05,0.6
172,B,Ship,4,4,176,4,2,F,52,1096,1,124,0.3,0.6
173,C,Ship,3,4,148,3,0,M,56,1550,1,92,0.38,0.6
174,F,Ship,3,2,270,3,0,F,63,2751,1,207,0.23,0.6
175,D,Ship,3,3,242,3,0,F,51,3935,1,191,0.21,0.6
176,F,Ship,4,4,150,2,1,M,3,1285,1,147,0.02,0.6
177,A,Ship,4,5,192,3,2,M,20,3872,1,172,0.1,0.6
178,B,Ship,4,5,116,3,1,M,54,1314,1,62,0.47,0.6
179,C,Ship,3,3,192,3,1,F,2,3995,1,190,0.01,0.6
180,F,Ship,5,5,255,4,1,M,3,3440,1,252,0.01,0.6
181,D,Ship,4,1,161,7,1,F,18,1294,1,143,0.11,0.6
182,F,Ship,4,5,157,3,0,M,20,1487,1,137,0.13,0.6
183,A,Ship,3,2,164,10,2,F,28,1940,1,136,0.17,0.6
184,B,Ship,3,5,162,7,1,F,16,1052,1,146,0.1,0.6
185,C,Ship,3,3,146,2,0,M,50,1486,1,96,0.34,0.6
186,F,Ship,3,2,209,3,1,M,54,3001,1,155,0.26,0.6
187,D,Ship,5,4,134,2,1,F,55,1386,1,79,0.41,0.6
188,F,Ship,2,1,222,2,1,M,5,3778,1,217,0.02,0.6
189,A,Ship,2,5,139,3,0,F,27,1233,1,112,0.19,0.6
190,B,Ship,2,4,134,3,0,F,42,1415,1,92,0.31,0.6
191,C,Ship,2,5,130,3,0,M,16,1092,1,114,0.12,0.6
192,F,Ship,2,5,133,3,0,F,62,1596,1,71,0.47,0.6
193,D,Ship,2,4,140,3,0,F,7,1411,1,133,0.05,0.6
194,F,Ship,2,2,158,3,0,M,28,1968,1,130,0.18,0.6
195,A,Ship,4,2,270,4,0,F,46,1736,1,224,0.17,0.6
196,B,Ship,2,5,140,3,0,F,30,1030,1,110,0.21,0.6
197,C,Ship,2,2,135,3,0,M,15,1339,1,120,0.11,0.6
198,F,Ship,2,3,136,3,0,F,19,1568,1,117,0.14,0.6
199,D,Ship,2,3,142,3,1,F,38,7640,1,104,0.27,0.6
200,F,Ship,2,2,154,3,1,M,38,7846,1,116,0.25,0.6
201,A,Ship,2,3,139,3,0,M,9,1471,1,130,0.06,0.6
202,B,Ship,2,3,160,3,0,F,43,1251,1,117,0.27,0.6
203,C,Ship,2,4,134,3,0,M,58,1067,1,76,0.43,0.6
204,F,Ship,5,3,161,5,2,M,48,1883,1,113,0.3,0.6
205,D,Ship,2,5,155,3,0,M,23,1602,1,132,0.15,0.6
206,F,Ship,2,3,145,3,1,F,24,7588,1,121,0.17,0.6
207,A,Ship,2,2,157,3,0,M,1,1477,1,156,0.01,0.6
208,B,Ship,2,2,160,3,0,M,48,1691,1,112,0.3,0.6
209,C,Ship,2,4,152,3,0,M,55,1498,1,97,0.36,0.6
210,F,Ship,2,5,148,3,2,F,11,1502,1,137,0.07,0.6
211,D,Ship,2,1,127,3,0,F,15,1522,1,112,0.12,0.6
212,F,Ship,2,5,154,3,0,F,21,1113,1,133,0.14,0.6
213,A,Ship,2,5,127,3,0,M,44,1341,1,83,0.35,0.6
214,B,Ship,2,5,160,3,1,F,31,7401,1,129,0.19,0.6
215,C,Ship,2,4,129,3,0,F,48,1219,1,81,0.37,0.6
216,F,Ship,2,5,158,3,0,F,40,1722,1,118,0.25,0.6
217,D,Ship,4,3,185,3,1,M,3,3131,1,182,0.02,0.6
218,F,Ship,4,4,176,4,2,F,63,1293,1,113,0.36,0.6
219,A,Ship,3,4,148,3,0,M,37,1523,1,111,0.25,0.6
220,B,Ship,3,5,270,3,0,M,60,3885,1,210,0.22,0.6
221,C,Ship,3,4,242,3,0,M,29,2381,1,213,0.12,0.6
222,F,Ship,4,3,150,2,1,M,31,1588,1,119,0.21,0.6
223,D,Ship,4,2,192,3,2,M,4,2061,1,188,0.02,0.6
224,F,Ship,4,5,116,3,1,F,9,1314,1,107,0.08,0.6
225,A,Ship,3,4,192,3,1,F,31,3331,1,161,0.16,0.6
226,B,Ship,5,4,255,4,1,F,38,2771,1,217,0.15,0.6
227,C,Ship,4,3,161,7,1,M,63,1496,1,98,0.39,0.6
228,F,Ship,4,2,157,3,0,F,48,1393,1,109,0.31,0.6
229,D,Ship,3,2,164,10,2,M,14,1375,1,150,0.09,0.6
230,F,Ship,3,3,162,7,1,F,42,1278,1,120,0.26,0.6
231,A,Ship,3,1,146,2,0,F,54,1528,1,92,0.37,0.6
232,B,Ship,3,4,209,3,1,F,60,2240,1,149,0.29,0.6
233,C,Ship,5,5,134,2,1,M,53,1088,1,81,0.4,0.6
234,F,Ship,2,1,222,2,1,M,58,3626,1,164,0.26,0.6
235,D,Ship,2,1,139,3,0,F,39,1582,1,100,0.28,0.6
236,F,Ship,2,2,134,3,0,M,38,1352,1,96,0.28,0.6
237,A,Ship,2,3,130,3,0,F,48,1801,1,82,0.37,0.6
238,B,Ship,2,2,133,3,0,M,5,1268,1,128,0.04,0.6
239,C,Ship,2,3,140,3,0,F,23,1372,1,117,0.16,0.6
240,F,Ship,2,3,158,3,0,M,10,1515,1,148,0.06,0.6
241,D,Ship,4,5,270,4,0,M,65,1818,1,205,0.24,0.6
242,F,Ship,2,4,140,3,0,F,33,1278,1,107,0.24,0.6
243,A,Ship,2,2,135,3,0,M,58,1734,1,77,0.43,0.6
244,B,Ship,2,4,136,3,0,M,43,1958,1,93,0.32,0.6
245,C,Ship,2,1,142,3,1,F,8,6064,1,134,0.06,0.6
246,F,Ship,2,4,154,3,1,F,48,7684,1,106,0.31,0.6
247,D,Ship,2,3,139,3,0,F,3,1788,1,136,0.02,0.6
248,F,Road,2,4,160,3,0,F,50,1030,1,110,0.31,0.59
249,A,Road,2,2,134,3,0,F,38,1530,1,96,0.28,0.59
250,B,Road,5,5,161,5,2,F,54,1511,1,107,0.34,0.59
251,C,Road,2,3,155,3,0,F,45,1639,1,110,0.29,0.59
252,F,Road,2,2,145,3,1,F,5,6102,1,140,0.03,0.59
253,D,Road,2,1,157,3,0,M,58,1930,1,99,0.37,0.59
254,F,Road,2,5,160,3,0,F,19,1399,1,141,0.12,0.59
255,A,Road,2,2,152,3,0,F,61,1800,1,91,0.4,0.59
256,B,Road,2,2,148,3,2,F,35,1349,1,113,0.24,0.59
257,C,Road,2,2,127,3,0,M,13,1128,1,114,0.1,0.59
258,F,Road,2,2,129,3,1,F,22,6614,1,107,0.17,0.59
259,D,Road,2,3,158,3,0,F,13,1245,1,145,0.08,0.59
260,F,Road,2,4,147,3,0,M,5,1920,1,142,0.03,0.59
261,A,Road,2,5,159,3,0,F,49,1621,1,110,0.31,0.59
262,B,Road,2,3,151,3,0,F,23,1930,1,128,0.15,0.59
263,C,Road,3,1,294,4,0,F,52,1089,1,242,0.18,0.59
264,F,Road,3,2,226,2,1,M,45,1446,1,181,0.2,0.59
265,D,Road,5,3,271,5,2,M,9,1813,1,262,0.03,0.59
266,F,Road,7,2,203,5,1,F,61,1856,1,142,0.3,0.59
267,A,Road,2,3,264,4,0,F,10,1648,1,254,0.04,0.59
268,B,Road,4,1,258,3,1,M,36,2211,1,222,0.14,0.59
269,C,Road,3,5,241,3,0,F,21,3078,1,220,0.09,0.59
270,F,Flight,4,5,208,3,1,M,23,2056,1,185,0.11,0.6
271,D,Flight,3,2,209,5,1,F,12,3054,1,197,0.06,0.6
272,F,Flight,5,1,182,2,1,F,23,2707,1,159,0.13,0.6
273,A,Flight,4,5,148,2,1,F,43,1087,1,105,0.29,0.6
274,B,Flight,2,3,183,2,1,F,52,3199,1,131,0.28,0.6
275,C,Flight,3,5,229,6,1,M,22,2717,1,207,0.1,0.6
276,F,Flight,5,5,115,5,0,F,26,1692,1,89,0.23,0.6
277,D,Flight,4,2,136,3,0,F,65,1962,1,71,0.48,0.6
278,F,Flight,4,4,212,3,0,M,21,3307,1,191,0.1,0.6
279,A,Flight,4,3,171,3,0,F,24,1304,1,147,0.14,0.6
280,B,Flight,3,1,151,2,0,M,60,1925,1,91,0.4,0.6
281,C,Flight,3,1,205,3,1,M,39,3062,1,166,0.19,0.6
282,F,Flight,5,4,147,3,1,M,23,1132,1,124,0.16,0.6
283,D,Flight,3,3,155,3,0,F,29,1712,1,126,0.19,0.6
284,F,Flight,5,4,165,3,0,F,20,1150,1,145,0.12,0.6
285,A,Flight,5,5,230,3,0,F,32,3249,1,198,0.14,0.6
286,B,Flight,2,4,181,4,1,M,13,2309,1,168,0.07,0.6
287,C,Flight,5,3,234,2,0,F,55,3308,1,179,0.24,0.6
288,F,Flight,4,4,149,3,0,M,34,1977,1,115,0.23,0.6
289,D,Flight,5,5,156,2,0,M,44,1561,1,112,0.28,0.6
290,F,Flight,4,2,172,3,1,F,59,1858,1,113,0.34,0.6
291,A,Flight,4,4,270,3,0,M,12,3279,1,258,0.04,0.6
292,B,Ship,4,1,206,3,1,M,23,3807,1,183,0.11,0.6
293,C,Ship,4,3,211,4,1,M,40,3106,1,171,0.19,0.6
294,F,Ship,3,2,136,4,0,M,62,1090,1,74,0.46,0.6
295,D,Ship,5,1,186,2,2,F,52,3981,1,134,0.28,0.6
296,F,Ship,3,1,202,2,1,M,62,3398,1,140,0.31,0.6
297,A,Ship,4,2,183,3,1,F,12,3646,1,171,0.07,0.6
298,B,Ship,4,4,232,2,0,M,36,2861,1,196,0.16,0.6
299,C,Ship,4,2,147,4,1,M,52,1129,1,95,0.35,0.6
300,F,Ship,4,3,136,3,1,M,20,1531,1,116,0.15,0.6
301,D,Ship,5,3,127,3,0,F,43,1446,1,84,0.34,0.6
302,F,Ship,4,5,202,2,1,M,35,3695,1,167,0.17,0.6
303,A,Ship,3,4,241,2,0,M,57,3671,1,184,0.24,0.6
304,B,Ship,4,3,222,2,1,M,55,3833,1,167,0.25,0.6
305,C,Ship,3,2,183,4,1,F,12,2777,1,171,0.07,0.6
306,F,Ship,4,4,249,3,1,F,36,3769,1,213,0.14,0.6
307,D,Ship,3,1,243,4,2,M,59,3838,1,184,0.24,0.6
308,F,Ship,3,3,163,3,1,M,9,1257,1,154,0.06,0.6
309,A,Ship,4,2,165,2,2,M,11,1596,1,154,0.07,0.6
310,B,Ship,5,5,266,3,1,F,53,3089,1,213,0.2,0.6
311,C,Ship,3,4,193,2,1,M,48,3909,1,145,0.25,0.6
312,F,Ship,3,2,154,3,0,F,56,1136,1,98,0.36,0.6
313,D,Ship,3,3,140,3,1,M,51,1046,1,89,0.36,0.6
314,F,Ship,4,3,272,3,1,M,38,3705,1,234,0.14,0.6
315,A,Ship,4,2,143,6,1,M,20,1654,1,123,0.14,0.6
316,B,Ship,4,2,138,3,0,F,30,1805,1,108,0.22,0.6
317,C,Ship,4,2,238,2,2,M,17,3358,1,221,0.07,0.6
318,F,Ship,4,5,273,4,1,F,31,2373,1,242,0.11,0.6
319,D,Ship,3,1,200,2,1,M,27,2551,1,173,0.14,0.6
320,F,Ship,4,5,213,4,0,M,39,2381,1,174,0.18,0.6
321,A,Ship,3,4,224,2,1,F,15,2701,1,209,0.07,0.6
322,B,Ship,4,5,141,3,1,M,12,1672,1,129,0.09,0.6
323,C,Ship,3,3,150,3,0,M,46,1040,1,104,0.31,0.6
324,F,Ship,3,1,192,2,0,M,33,2818,1,159,0.17,0.6
325,D,Ship,5,1,279,4,1,F,24,3440,1,255,0.09,0.6
326,F,Ship,3,4,246,3,1,M,30,3748,1,216,0.12,0.6
327,A,Ship,3,4,173,3,1,M,52,1587,1,121,0.3,0.6
328,B,Ship,4,4,233,4,1,F,59,2358,1,174,0.25,0.6
329,C,Ship,5,1,274,2,1,M,24,2423,1,250,0.09,0.6
330,F,Ship,4,5,243,4,1,F,41,2782,1,202,0.17,0.6
331,D,Ship,3,4,197,3,1,F,56,3427,1,141,0.28,0.6
332,F,Ship,4,3,140,3,2,F,46,1072,1,94,0.33,0.6
333,A,Ship,3,5,215,3,1,F,22,2585,1,193,0.1,0.6
334,B,Ship,3,4,211,3,1,M,8,3710,1,203,0.04,0.6
335,C,Ship,4,2,220,5,0,M,33,2854,1,187,0.15,0.6
336,F,Ship,3,1,194,4,0,M,64,2026,1,130,0.33,0.6
337,D,Ship,5,1,262,3,1,F,58,3599,1,204,0.22,0.6
338,F,Ship,4,4,201,2,0,F,1,3147,1,200,0.0,0.6
339,A,Ship,3,5,261,3,1,M,15,2989,1,246,0.06,0.6
340,B,Ship,4,4,191,6,0,F,60,3425,1,131,0.31,0.6
341,C,Ship,2,5,255,5,1,F,53,3775,1,202,0.21,0.6
342,F,Ship,3,2,169,2,2,M,30,1698,1,139,0.18,0.6
343,D,Ship,4,5,162,2,1,M,64,1918,1,98,0.4,0.6
344,F,Ship,2,5,248,6,0,F,62,2750,1,186,0.25,0.6
345,A,Ship,5,3,197,4,0,F,2,2222,1,195,0.01,0.6
346,B,Ship,5,1,264,3,0,M,6,2882,1,258,0.02,0.6
347,C,Ship,5,5,260,2,1,F,55,2791,1,205,0.21,0.6
348,F,Ship,5,3,186,2,1,F,58,2259,1,128,0.31,0.6
349,D,Ship,4,5,233,4,0,F,44,2551,1,189,0.19,0.6
350,F,Ship,5,1,161,3,0,M,47,1954,1,114,0.29,0.6
351,A,Ship,4,5,188,3,0,F,13,2409,1,175,0.07,0.6
352,B,Ship,5,5,171,2,1,F,22,1695,1,149,0.13,0.6
353,C,Ship,2,2,267,3,1,M,15,2481,1,252,0.06,0.6
354,F,Ship,4,3,255,2,2,M,47,2956,1,208,0.18,0.6
355,D,Ship,3,2,132,3,0,F,56,1303,1,76,0.42,0.6
356,F,Ship,5,1,266,3,0,F,31,3157,1,235,0.12,0.6
357,A,Ship,3,4,198,2,0,M,25,2774,1,173,0.13,0.6
358,B,Ship,2,3,247,2,1,F,62,3127,1,185,0.25,0.6
359,C,Ship,3,1,140,3,1,F,65,1291,1,75,0.46,0.6
360,F,Ship,4,3,131,5,0,M,6,1659,1,125,0.05,0.6
361,D,Ship,5,2,246,3,1,M,49,3236,1,197,0.2,0.6
362,F,Ship,3,2,159,3,1,F,4,1681,1,155,0.03,0.6
363,A,Ship,3,5,203,2,1,M,61,3642,1,142,0.3,0.6
364,B,Ship,4,3,187,4,2,F,29,3141,1,158,0.16,0.6
365,C,Ship,6,2,146,3,0,F,62,1936,1,84,0.42,0.6
366,F,Ship,3,2,234,3,1,M,39,2099,1,195,0.17,0.6
367,D,Ship,3,4,122,3,2,F,15,1354,1,107,0.12,0.6
368,F,Ship,3,3,135,3,0,M,8,1074,1,127,0.06,0.6
369,A,Ship,3,5,103,3,0,M,3,1403,1,100,0.03,0.6
370,B,Ship,3,5,257,3,1,F,19,2173,1,238,0.07,0.6
371,C,Ship,4,3,169,2,0,M,2,1399,1,167,0.01,0.6
372,F,Ship,4,5,159,3,1,M,18,1808,1,141,0.11,0.6
373,D,Ship,4,5,188,3,0,M,38,3031,1,150,0.2,0.6
